,Name,Born,Died,Age,Gender,Class/Dept,Ticket,Fare,Cabin,Joined,Occupation,Survived?,Boat,Body,Nationality,URL
0,"NILSSON, Miss Helmina Josefina",1886.0,1971.0,26,Female,3rd Class Passenger,347470,£7             17s             1d,,Southampton,,SAVED,13,,Swedish,https://www.encyclopedia-titanica.org/titanic-survivor/helmina-josefina-nilsson.html
1,"ROMMETVEDT, Mr Knud Paust",1863.0,1912.0,49,Male,3rd Class Passenger,312993,£7             15s             6d,,Southampton,Ship's officer,LOST,,,Norwegian,https://www.encyclopedia-titanica.org/titanic-victim/knud-paust-rommetvedt.html
2,"DAHLBERG, Miss Gerda Ulrika",1890.0,1912.0,22,Female,3rd Class Passenger,7552,£10             10s             4d,,Southampton,,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/gerda-ulrika-dahlberg.html
3,"TENGLIN, Mr Gunnar Isidor",1887.0,1974.0,25,Male,3rd Class Passenger,350033,£7             15s             11d,,Southampton,,SAVED,13,,Swedish,https://www.encyclopedia-titanica.org/titanic-survivor/gunnar-isidor-tenglin.html
4,"SNYDER, Mrs Nelle",1889.0,1983.0,23,Female,1st Class Passenger,21228,£82             5s             4d,B45,Southampton,,SAVED,7,,American,https://www.encyclopedia-titanica.org/titanic-survivor/nelle-snyder.html
5,"PORTER, Mr Walter Chamberlain",1865.0,1912.0,46,Male,1st Class Passenger,110465,£52.00,C110,Southampton,,LOST,,207.0,American,https://www.encyclopedia-titanica.org/titanic-victim/walter-chamberlain-porter.html
6,"DOYLE, Miss Elizabeth",1884.0,1912.0,28,Female,3rd Class Passenger,368702,£7             15s,,Queenstown,,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/elizabeth-doyle.html
7,"MOORE, Mr Leonard Charles",1893.0,1912.0,19,Male,3rd Class Passenger,54510,£8             1s,,Southampton,Bricklayer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/leonard-charles-moore.html
8,"BECKER, Miss Ruth Elizabeth",1899.0,1990.0,12,Female,2nd Class Passenger,230136,£39.00,F8,Southampton,,SAVED,13,,American,https://www.encyclopedia-titanica.org/titanic-survivor/ruth-elizabeth-becker.html
9,"ČOR, Mr Liudevit",1893.0,1912.0,19,Male,3rd Class Passenger,349231,£7             17s             11d,,Southampton,General Labourer,LOST,,,Croatian,https://www.encyclopedia-titanica.org/titanic-victim/liudevit-cor.html
10,"ČAčIć, Mr Luka",1873.0,1912.0,38,Male,3rd Class Passenger,315089,£8             13s             3d,,Southampton,Farmer,LOST,,,Croatian,https://www.encyclopedia-titanica.org/titanic-victim/luka-cacic.html
11,"GRAHAM, Mrs Edith",1853.0,1924.0,58,Female,1st Class Passenger,17582,£153             9s             3d,C91,Southampton,,SAVED,3,,American,https://www.encyclopedia-titanica.org/titanic-survivor/edith-graham.html
12,"DAVIES, Mr Charles Henry",1893.0,1912.0,19,Male,2nd Class Passenger,14879,£73             10s,,Southampton,,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/charles-henry-davies.html
13,"JOHNSTON, Mrs Eliza",1876.0,1912.0,36,Female,3rd Class Passenger,6607,£23             9s,,Southampton,,LOST,,,Scottish,https://www.encyclopedia-titanica.org/titanic-victim/eliza-johnston.html
14,"VANDERPLANCKE, Mr Leo Edmondus",1896.0,1912.0,15,Male,3rd Class Passenger,345763,£18.00,,Southampton,Farm Labourer,LOST,,,Belgian,https://www.encyclopedia-titanica.org/titanic-victim/leo-edmondus-vanderplancke.html
15,"BEESLEY, Mr Lawrence",1877.0,1967.0,34,Male,2nd Class Passenger,248698,£13.00,D56,Southampton,Teacher,SAVED,13,,English,https://www.encyclopedia-titanica.org/titanic-survivor/lawrence-beesley.html
16,"CROSBY, Captain Edward Gifford",1842.0,1912.0,70,Male,1st Class Passenger,5735,£71.00,B22,Southampton,,LOST,,269.0,American,https://www.encyclopedia-titanica.org/titanic-victim/edward-gifford-crosby.html
17,"BROWN, Mrs Margaret",1867.0,1932.0,44,Female,1st Class Passenger,17610,£27             14s             5d,,Cherbourg,Socialite,SAVED,6,,American,https://www.encyclopedia-titanica.org/titanic-survivor/molly-brown.html
